timestamp,heart_rate
2024-02-29 13:39:57+01:00,
2024-02-29 13:39:57+01:00,
2024-02-29 13:39:57+01:00,
2024-02-29 13:39:57+01:00,
2024-02-29 13:39:57+01:00,
2024-02-29 13:39:57+01:00,
2024-02-29 13:39:58+01:00,81.0
2024-02-29 13:39:59+01:00,77.0
2024-02-29 13:40:00+01:00,74.0
2024-02-29 13:40:01+01:00,
2024-02-29 13:40:01+01:00,72.0
2024-02-29 13:40:02+01:00,71.0
2024-02-29 13:40:03+01:00,69.0
2024-02-29 13:40:04+01:00,68.0
2024-02-29 13:40:05+01:00,68.0
2024-02-29 13:40:06+01:00,67.0
2024-02-29 13:40:07+01:00,62.0
2024-02-29 13:40:08+01:00,60.0
2024-02-29 13:40:09+01:00,59.0
2024-02-29 13:40:10+01:00,59.0
2024-02-29 13:40:11+01:00,58.0
2024-02-29 13:40:12+01:00,58.0
2024-02-29 13:40:13+01:00,57.0
2024-02-29 13:40:14+01:00,56.0
2024-02-29 13:40:15+01:00,55.0
2024-02-29 13:40:16+01:00,55.0
2024-02-29 13:40:17+01:00,54.0
2024-02-29 13:40:18+01:00,53.0
2024-02-29 13:40:19+01:00,53.0
2024-02-29 13:40:20+01:00,51.0
2024-02-29 13:40:21+01:00,50.0
2024-02-29 13:40:22+01:00,50.0
2024-02-29 13:40:23+01:00,51.0
2024-02-29 13:40:24+01:00,51.0
2024-02-29 13:40:25+01:00,51.0
2024-02-29 13:40:26+01:00,52.0
2024-02-29 13:40:27+01:00,52.0
2024-02-29 13:40:28+01:00,52.0
2024-02-29 13:40:29+01:00,52.0
2024-02-29 13:40:30+01:00,51.0
2024-02-29 13:40:31+01:00,51.0
2024-02-29 13:40:32+01:00,51.0
2024-02-29 13:40:33+01:00,51.0
2024-02-29 13:40:34+01:00,52.0
2024-02-29 13:40:35+01:00,52.0
2024-02-29 13:40:36+01:00,52.0
2024-02-29 13:40:37+01:00,52.0
2024-02-29 13:40:38+01:00,52.0
2024-02-29 13:40:39+01:00,52.0
2024-02-29 13:40:40+01:00,52.0
2024-02-29 13:40:41+01:00,51.0
2024-02-29 13:40:42+01:00,51.0
2024-02-29 13:40:43+01:00,50.0
2024-02-29 13:40:44+01:00,50.0
2024-02-29 13:40:45+01:00,50.0
2024-02-29 13:40:46+01:00,50.0
2024-02-29 13:40:47+01:00,50.0
2024-02-29 13:40:48+01:00,50.0
2024-02-29 13:40:49+01:00,51.0
2024-02-29 13:40:50+01:00,51.0
2024-02-29 13:40:51+01:00,51.0
2024-02-29 13:40:52+01:00,49.0
2024-02-29 13:40:53+01:00,48.0
2024-02-29 13:40:54+01:00,48.0
2024-02-29 13:40:55+01:00,48.0
2024-02-29 13:40:56+01:00,49.0
2024-02-29 13:40:57+01:00,50.0
2024-02-29 13:40:58+01:00,50.0
2024-02-29 13:40:59+01:00,51.0
2024-02-29 13:41:00+01:00,51.0
2024-02-29 13:41:01+01:00,51.0
2024-02-29 13:41:02+01:00,52.0
2024-02-29 13:41:03+01:00,51.0
2024-02-29 13:41:04+01:00,51.0
2024-02-29 13:41:05+01:00,50.0
2024-02-29 13:41:06+01:00,50.0
2024-02-29 13:41:07+01:00,50.0
2024-02-29 13:41:08+01:00,50.0
2024-02-29 13:41:09+01:00,50.0
2024-02-29 13:41:10+01:00,50.0
2024-02-29 13:41:11+01:00,50.0
2024-02-29 13:41:12+01:00,50.0
2024-02-29 13:41:13+01:00,50.0
2024-02-29 13:41:14+01:00,50.0
2024-02-29 13:41:15+01:00,51.0
2024-02-29 13:41:16+01:00,51.0
2024-02-29 13:41:17+01:00,51.0
2024-02-29 13:41:18+01:00,49.0
2024-02-29 13:41:19+01:00,49.0
2024-02-29 13:41:20+01:00,50.0
2024-02-29 13:41:21+01:00,50.0
2024-02-29 13:41:22+01:00,50.0
2024-02-29 13:41:23+01:00,51.0
2024-02-29 13:41:24+01:00,51.0
2024-02-29 13:41:25+01:00,50.0
2024-02-29 13:41:26+01:00,50.0
2024-02-29 13:41:27+01:00,50.0
2024-02-29 13:41:28+01:00,49.0
2024-02-29 13:41:29+01:00,49.0
2024-02-29 13:41:30+01:00,49.0
2024-02-29 13:41:31+01:00,50.0
2024-02-29 13:41:32+01:00,50.0
2024-02-29 13:41:33+01:00,50.0
2024-02-29 13:41:34+01:00,50.0
2024-02-29 13:41:35+01:00,52.0
2024-02-29 13:41:36+01:00,53.0
2024-02-29 13:41:37+01:00,52.0
2024-02-29 13:41:38+01:00,51.0
2024-02-29 13:41:39+01:00,51.0
2024-02-29 13:41:40+01:00,52.0
2024-02-29 13:41:41+01:00,52.0
2024-02-29 13:41:42+01:00,52.0
2024-02-29 13:41:43+01:00,53.0
2024-02-29 13:41:44+01:00,53.0
2024-02-29 13:41:45+01:00,53.0
2024-02-29 13:41:46+01:00,53.0
2024-02-29 13:41:47+01:00,54.0
2024-02-29 13:41:48+01:00,53.0
2024-02-29 13:41:49+01:00,53.0
2024-02-29 13:41:50+01:00,53.0
2024-02-29 13:41:51+01:00,53.0
2024-02-29 13:41:52+01:00,53.0
2024-02-29 13:41:53+01:00,53.0
2024-02-29 13:41:54+01:00,55.0
2024-02-29 13:41:55+01:00,56.0
2024-02-29 13:41:56+01:00,55.0
2024-02-29 13:41:57+01:00,54.0
2024-02-29 13:41:58+01:00,54.0
2024-02-29 13:41:59+01:00,54.0
2024-02-29 13:42:00+01:00,53.0
2024-02-29 13:42:01+01:00,53.0
2024-02-29 13:42:02+01:00,52.0
2024-02-29 13:42:03+01:00,52.0
2024-02-29 13:42:04+01:00,52.0
2024-02-29 13:42:05+01:00,52.0
2024-02-29 13:42:06+01:00,52.0
2024-02-29 13:42:07+01:00,52.0
2024-02-29 13:42:08+01:00,52.0
2024-02-29 13:42:09+01:00,52.0
2024-02-29 13:42:10+01:00,51.0
2024-02-29 13:42:11+01:00,
2024-02-29 13:42:11+01:00,51.0
2024-02-29 13:42:12+01:00,51.0
2024-02-29 13:42:13+01:00,51.0
2024-02-29 13:42:14+01:00,51.0
2024-02-29 13:42:15+01:00,52.0
2024-02-29 13:42:16+01:00,52.0
2024-02-29 13:42:17+01:00,52.0
2024-02-29 13:42:18+01:00,52.0
2024-02-29 13:42:19+01:00,51.0
2024-02-29 13:42:20+01:00,51.0
2024-02-29 13:42:21+01:00,50.0
2024-02-29 13:42:22+01:00,50.0
2024-02-29 13:42:23+01:00,51.0
2024-02-29 13:42:24+01:00,51.0
2024-02-29 13:42:25+01:00,51.0
2024-02-29 13:42:26+01:00,51.0
2024-02-29 13:42:27+01:00,51.0
2024-02-29 13:42:28+01:00,52.0
2024-02-29 13:42:29+01:00,52.0
2024-02-29 13:42:30+01:00,53.0
2024-02-29 13:42:31+01:00,54.0
2024-02-29 13:42:32+01:00,55.0
2024-02-29 13:42:33+01:00,53.0
2024-02-29 13:42:34+01:00,53.0
2024-02-29 13:42:35+01:00,53.0
2024-02-29 13:42:36+01:00,53.0
2024-02-29 13:42:37+01:00,53.0
2024-02-29 13:42:38+01:00,53.0
2024-02-29 13:42:39+01:00,53.0
2024-02-29 13:42:40+01:00,53.0
2024-02-29 13:42:41+01:00,53.0
2024-02-29 13:42:42+01:00,53.0
2024-02-29 13:42:43+01:00,53.0
2024-02-29 13:42:44+01:00,53.0
2024-02-29 13:42:45+01:00,53.0
2024-02-29 13:42:46+01:00,53.0
2024-02-29 13:42:47+01:00,53.0
2024-02-29 13:42:48+01:00,53.0
2024-02-29 13:42:49+01:00,53.0
2024-02-29 13:42:50+01:00,54.0
2024-02-29 13:42:51+01:00,54.0
2024-02-29 13:42:52+01:00,54.0
2024-02-29 13:42:53+01:00,53.0
2024-02-29 13:42:54+01:00,52.0
2024-02-29 13:42:55+01:00,52.0
2024-02-29 13:42:56+01:00,53.0
2024-02-29 13:42:57+01:00,53.0
2024-02-29 13:42:58+01:00,54.0
2024-02-29 13:42:59+01:00,52.0
2024-02-29 13:43:00+01:00,52.0
2024-02-29 13:43:01+01:00,52.0
2024-02-29 13:43:02+01:00,52.0
2024-02-29 13:43:03+01:00,52.0
2024-02-29 13:43:04+01:00,52.0
2024-02-29 13:43:05+01:00,53.0
2024-02-29 13:43:06+01:00,53.0
2024-02-29 13:43:07+01:00,53.0
2024-02-29 13:43:08+01:00,53.0
2024-02-29 13:43:09+01:00,53.0
2024-02-29 13:43:10+01:00,53.0
2024-02-29 13:43:11+01:00,53.0
2024-02-29 13:43:12+01:00,53.0
2024-02-29 13:43:13+01:00,53.0
2024-02-29 13:43:14+01:00,55.0
2024-02-29 13:43:15+01:00,56.0
2024-02-29 13:43:16+01:00,54.0
2024-02-29 13:43:17+01:00,53.0
2024-02-29 13:43:18+01:00,53.0
2024-02-29 13:43:19+01:00,53.0
2024-02-29 13:43:20+01:00,53.0
2024-02-29 13:43:21+01:00,53.0
2024-02-29 13:43:22+01:00,53.0
2024-02-29 13:43:23+01:00,53.0
2024-02-29 13:43:24+01:00,53.0
2024-02-29 13:43:25+01:00,54.0
2024-02-29 13:43:26+01:00,54.0
2024-02-29 13:43:27+01:00,54.0
2024-02-29 13:43:28+01:00,53.0
2024-02-29 13:43:29+01:00,54.0
2024-02-29 13:43:30+01:00,54.0
2024-02-29 13:43:31+01:00,53.0
2024-02-29 13:43:32+01:00,53.0
2024-02-29 13:43:33+01:00,52.0
2024-02-29 13:43:34+01:00,52.0
2024-02-29 13:43:35+01:00,52.0
2024-02-29 13:43:36+01:00,52.0
2024-02-29 13:43:37+01:00,52.0
2024-02-29 13:43:38+01:00,52.0
