timestamp,heart_rate
2024-02-13 09:12:54+01:00,
2024-02-13 09:12:54+01:00,
2024-02-13 09:12:54+01:00,
2024-02-13 09:12:54+01:00,
2024-02-13 09:12:54+01:00,
2024-02-13 09:12:54+01:00,81.0
2024-02-13 09:12:55+01:00,81.0
2024-02-13 09:12:56+01:00,80.0
2024-02-13 09:12:57+01:00,
2024-02-13 09:12:57+01:00,
2024-02-13 09:12:58+01:00,80.0
2024-02-13 09:12:59+01:00,79.0
2024-02-13 09:13:00+01:00,
2024-02-13 09:13:00+01:00,76.0
2024-02-13 09:13:01+01:00,73.0
2024-02-13 09:13:02+01:00,72.0
2024-02-13 09:13:03+01:00,71.0
2024-02-13 09:13:04+01:00,70.0
2024-02-13 09:13:05+01:00,71.0
2024-02-13 09:13:06+01:00,69.0
2024-02-13 09:13:07+01:00,68.0
2024-02-13 09:13:08+01:00,68.0
2024-02-13 09:13:09+01:00,70.0
2024-02-13 09:13:10+01:00,72.0
2024-02-13 09:13:11+01:00,74.0
2024-02-13 09:13:12+01:00,76.0
2024-02-13 09:13:13+01:00,79.0
2024-02-13 09:13:14+01:00,78.0
2024-02-13 09:13:15+01:00,76.0
2024-02-13 09:13:16+01:00,72.0
2024-02-13 09:13:17+01:00,72.0
2024-02-13 09:13:18+01:00,72.0
2024-02-13 09:13:19+01:00,72.0
2024-02-13 09:13:20+01:00,72.0
2024-02-13 09:13:21+01:00,77.0
2024-02-13 09:13:22+01:00,79.0
2024-02-13 09:13:23+01:00,80.0
2024-02-13 09:13:24+01:00,81.0
2024-02-13 09:13:25+01:00,79.0
2024-02-13 09:13:26+01:00,79.0
2024-02-13 09:13:27+01:00,78.0
2024-02-13 09:13:28+01:00,78.0
2024-02-13 09:13:29+01:00,78.0
2024-02-13 09:13:30+01:00,83.0
2024-02-13 09:13:31+01:00,87.0
2024-02-13 09:13:32+01:00,86.0
2024-02-13 09:13:33+01:00,84.0
2024-02-13 09:13:34+01:00,80.0
2024-02-13 09:13:35+01:00,79.0
2024-02-13 09:13:36+01:00,80.0
2024-02-13 09:13:37+01:00,81.0
2024-02-13 09:13:38+01:00,84.0
2024-02-13 09:13:39+01:00,86.0
2024-02-13 09:13:40+01:00,88.0
2024-02-13 09:13:41+01:00,88.0
2024-02-13 09:13:42+01:00,88.0
2024-02-13 09:13:43+01:00,88.0
2024-02-13 09:13:44+01:00,88.0
2024-02-13 09:13:45+01:00,88.0
2024-02-13 09:13:46+01:00,88.0
2024-02-13 09:13:47+01:00,
2024-02-13 09:13:48+01:00,72.0
2024-02-13 09:13:49+01:00,
2024-02-13 09:13:50+01:00,92.0
2024-02-13 09:13:51+01:00,92.0
2024-02-13 09:13:52+01:00,92.0
2024-02-13 09:13:53+01:00,90.0
2024-02-13 09:13:54+01:00,84.0
2024-02-13 09:13:55+01:00,84.0
2024-02-13 09:13:56+01:00,86.0
2024-02-13 09:13:57+01:00,85.0
2024-02-13 09:13:58+01:00,85.0
2024-02-13 09:13:59+01:00,79.0
2024-02-13 09:14:00+01:00,77.0
2024-02-13 09:14:01+01:00,75.0
2024-02-13 09:14:02+01:00,75.0
2024-02-13 09:14:03+01:00,75.0
2024-02-13 09:14:04+01:00,75.0
2024-02-13 09:14:05+01:00,75.0
2024-02-13 09:14:06+01:00,75.0
2024-02-13 09:14:07+01:00,75.0
2024-02-13 09:14:08+01:00,76.0
2024-02-13 09:14:09+01:00,75.0
2024-02-13 09:14:10+01:00,75.0
2024-02-13 09:14:11+01:00,76.0
2024-02-13 09:14:12+01:00,76.0
2024-02-13 09:14:13+01:00,72.0
2024-02-13 09:14:14+01:00,72.0
2024-02-13 09:14:15+01:00,72.0
2024-02-13 09:14:16+01:00,72.0
2024-02-13 09:14:17+01:00,72.0
2024-02-13 09:14:18+01:00,72.0
2024-02-13 09:14:19+01:00,72.0
2024-02-13 09:14:20+01:00,78.0
2024-02-13 09:14:21+01:00,76.0
2024-02-13 09:14:22+01:00,75.0
2024-02-13 09:14:23+01:00,77.0
2024-02-13 09:14:24+01:00,78.0
2024-02-13 09:14:25+01:00,78.0
2024-02-13 09:14:26+01:00,78.0
2024-02-13 09:14:27+01:00,79.0
2024-02-13 09:14:28+01:00,80.0
2024-02-13 09:14:29+01:00,86.0
2024-02-13 09:14:30+01:00,88.0
2024-02-13 09:14:31+01:00,89.0
2024-02-13 09:14:32+01:00,87.0
2024-02-13 09:14:33+01:00,86.0
2024-02-13 09:14:34+01:00,86.0
2024-02-13 09:14:35+01:00,85.0
2024-02-13 09:14:36+01:00,84.0
2024-02-13 09:14:37+01:00,84.0
2024-02-13 09:14:38+01:00,86.0
2024-02-13 09:14:39+01:00,86.0
2024-02-13 09:14:40+01:00,83.0
2024-02-13 09:14:41+01:00,83.0
2024-02-13 09:14:42+01:00,83.0
2024-02-13 09:14:43+01:00,85.0
2024-02-13 09:14:44+01:00,86.0
2024-02-13 09:14:45+01:00,87.0
2024-02-13 09:14:46+01:00,85.0
2024-02-13 09:14:47+01:00,85.0
2024-02-13 09:14:48+01:00,82.0
2024-02-13 09:14:49+01:00,83.0
2024-02-13 09:14:50+01:00,83.0
2024-02-13 09:14:51+01:00,81.0
2024-02-13 09:14:52+01:00,79.0
2024-02-13 09:14:53+01:00,78.0
2024-02-13 09:14:54+01:00,79.0
2024-02-13 09:14:55+01:00,79.0
2024-02-13 09:14:56+01:00,80.0
2024-02-13 09:14:57+01:00,80.0
2024-02-13 09:14:58+01:00,81.0
2024-02-13 09:14:59+01:00,83.0
2024-02-13 09:15:00+01:00,85.0
2024-02-13 09:15:01+01:00,83.0
2024-02-13 09:15:02+01:00,80.0
2024-02-13 09:15:03+01:00,79.0
2024-02-13 09:15:04+01:00,82.0
2024-02-13 09:15:05+01:00,85.0
2024-02-13 09:15:06+01:00,84.0
2024-02-13 09:15:07+01:00,83.0
2024-02-13 09:15:08+01:00,80.0
2024-02-13 09:15:09+01:00,79.0
2024-02-13 09:15:10+01:00,83.0
2024-02-13 09:15:11+01:00,85.0
2024-02-13 09:15:12+01:00,87.0
2024-02-13 09:15:13+01:00,87.0
2024-02-13 09:15:14+01:00,86.0
2024-02-13 09:15:15+01:00,85.0
2024-02-13 09:15:16+01:00,86.0
2024-02-13 09:15:17+01:00,84.0
2024-02-13 09:15:18+01:00,81.0
2024-02-13 09:15:19+01:00,75.0
